country,totalCO2emission,pop2021
China,2806634,1444216.107
United States,1432855,332915.073
India,610411,1393409.038
Russia,465052,145912.025
Japan,331074,126050.804
Germany,196314,83900.473
Iran,177115,85028.759
Saudi Arabia,163907,35340.683
South Korea,160119,51305.186
Canada,146494,38067.903
Brazil,144480,213993.437
South Africa,133562,60041.994
Mexico,130971,130262.216
Indonesia,126582,276361.783
United Kingdom,114486,68207.116
Australia,98517,25788.215
Turkey,94350,85042.738
Italy,87377,60367.477
Thailand,86232,69950.85
France,82704,65426.179
Poland,77922,37797.005
Taiwan,72013,23855.01
Kazakhstan,67716,18994.962
Malaysia,66218,32776.194
Spain,63806,46745.216
Ukraine,61985,43466.819
United Arab Emirates,57641,9991.089
Argentina,55638,45605.826
Egypt,55057,104258.327
Venezuela,50510,28704.954
Iraq,45935,41179.35
Netherlands,45624,17173.099
Vietnam,45517,98168.833
Pakistan,45350,225199.937
Algeria,39651,44616.624
Qatar,29412,2930.528
Philippines,28812,111046.913
Uzbekistan,28692,33935.763
Czech Republic,26309,10724.555
Nigeria,26256,211400.708
Kuwait,26018,4328.55
Belgium,25457,11632.326
Colombia,22932,51265.844
Chile,22515,19212.361
Bangladesh,19959,166303.498
Romania,19090,19127.774
Turkmenistan,18659,6117.924
Greece,18358,10370.744
Israel,17617,8789.774
Belarus,17316,9442.862
Peru,16838,33359.418
Oman,16681,5223.375
Morocco,16325,37344.795
Austria,16011,9043.07
Libya,15543,6958.532
Singapore,15373,5896.686
Norway,12988,5465.63
Finland,12899,5548.36
Trinidad and Tobago,12619,1403.375
Hong Kong,12605,7552.81
Portugal,12286,10167.925
Ecuador,11977,17888.475
Sweden,11841,10160.169
Bulgaria,11567,6896.663
Hungary,11477,9634.164
North Korea,11052,25887.041
Serbia,10272,8697.55
Azerbaijan,10223,10223.342
Switzerland,9628,8715.494
Cuba,9500,11317.505
Angola,9480,33933.61
New Zealand,9453,4860.643
Ireland,9290,4982.907
Denmark,9135,5813.298
Bahrain,8546,1748.296
Syria,8373,18275.702
Slovakia,8366,5460.721
Tunisia,7862,11935.766
Jordan,7213,10269.021
Lebanon,6564,6769.146
Yemen,6190,30490.64
Bosnia and Herzegovina,6063,3263.466
Myanmar,5899,54806.012
Dominican Republic,5874,10953.703
Mongolia,5683,3329.289
Bolivia,5566,11832.94
Estonia,5323,1325.185
Sri Lanka,5016,21497.31
Guatemala,4998,18249.86
Croatia,4593,4081.651
Sudan,4190,44909.353
Ghana,3945,31732.129
Kenya,3896,54985.698
Lithuania,3501,2689.862
Slovenia,3494,2078.724
Zimbabwe,3278,15092.171
Ethiopia,3163,117876.227
Tanzania,3153,61498.437
Ivory Coast,3012,27053.629
Afghanistan,2675,39835.428
Luxembourg,2634,634.814
Kyrgyzstan,2620,6628.356
Honduras,2583,10062.991
Brunei,2484,441.532
Georgia,2451,3979.765
Senegal,2415,17196.301
Panama,2400,4381.579
Mozambique,2298,32163.047
Nepal,2190,29674.92
Costa Rica,2116,5139.052
Jamaica,2024,2973.463
Botswana,1918,2397.241
Cameroon,1910,27224.265
Latvia,1902,1866.942
Uruguay,1840,3485.151
Cambodia,1823,16946.438
Benin,1723,12451.04
Papua New Guinea,1723,9119.01
El Salvador,1714,6518.499
Cyprus,1653,1215.584
Curacao,1604,164.798
Albania,1559,2872.933
Paraguay,1555,7219.638
Armenia,1508,2968.127
Equatorial Guinea,1458,1449.896
Uganda,1426,47123.531
Gabon,1416,2278.825
Tajikistan,1415,9749.627
Moldova,1345,4024.019
Nicaragua,1326,6702.385
Dr Congo,1274,92377.993
Zambia,1228,18920.651
New Caledonia,1170,288.218
Mauritius,1153,1273.433
Reunion,1138,901.686
Namibia,1024,2587.344
Republic of The Congo,844,5657.013
Madagascar,839,28427.328
Haiti,780,11541.685
Burkina Faso,777,21497.096
Palestine,774,5222.748
Mauritania,739,4775.119
Togo,715,8478.25
Guadeloupe,700,400.02
Lesotho,673,2159.079
Guinea,668,13497.244
Bahamas,659,396.913
Malta,640,442.784
Martinique,627,374.745
Montenegro,603,628.053
Niger,580,25130.817
Guyana,548,790.326
Suriname,543,591.8
Iceland,541,343.353
Laos,533,7379.358
South Sudan,408,11381.378
Mali,385,20855.735
Maldives,364,543.617
Sierra Leone,357,8141.343
Macau,350,658.394
Malawi,348,19647.684
Barbados,347,287.711
Eswatini,328,1172.362
Fiji,319,902.906
Bhutan,273,779.898
Liberia,255,5180.203
Aruba,238,107.204
Rwanda,229,13276.513
French Polynesia,219,282.53
French Guiana,200,306.448
Saint Martin,200,39.234
Chad,199,16914.985
Djibouti,197,1002.187
Eritrea,190,3601.467
Somalia,166,16359.504
Faroe Islands,163,49.049
Bermuda,157,62.09
Cayman Islands,148,66.497
Antigua and Barbuda,145,98.731
Gibraltar,144,33.698
Gambia,140,2486.945
Greenland,138,56.877
Belize,135,404.914
Seychelles,135,98.908
Cape Verde,134,561.898
Timor-Leste,128,1343.873
andorra,126,77.355
Burundi,120,12255.433
Saint Lucia,111,184.4
Central African Republic,82,4919.981
Guinea-Bissau,74,2015.494
Palau,71,18.169
Grenada,66,113.021
Saint Kitts and Nevis,63,53.544
Saint Vincent and The Grenadines,57,111.263
Turks and Caicos Islands,56,39.231
Solomon Islands,55,703.996
Samoa,54,200.149
British Virgin Islands,49,30.421
Comoros,42,888.451
Vanuatu,42,314.464
Micronesia,41,116.254
Anguilla,39,15.117
Dominica,37,72.167
Tonga,33,106.76
Sao Tome and Principe,31,223.368
Marshall Islands,28,59.61
Saint Pierre and Miquelon,21,5.766
Cook Islands,19,17.565
Kiribati,17,121.392
Falkland Islands,15,3.533
Nauru,13,10.876
Montserrat,13,4.977
Liechtenstein,12,38.25
Wallis and Futuna,6,11.094
Tuvalu,3,11.931
Niue,3,1.619
