country,totalgdp,agriculture%,industry%,service%,agriculture$,industry$,service$
China,23210000,7.9%,40.5%,51.6%,1833590,9400050,11976360
United States,19490000,0.9%,19.1%,80.0%,175410,3722590,15592000
India,9474000,15.4%,23.0%,61.5%,1458996,2179020,5826510
Japan,5443000,1.1%,30.1%,68.7%,59873,1638343,3739341
Germany,4199000,0.7%,30.7%,68.6%,29393,1289093,2880514
Russia,4016000,4.7%,32.4%,62.3%,188752,1301184,2501968
Indonesia,3250000,13.7%,41.0%,45.4%,445250,1332500,1475500
Brazil,3248000,6.6%,20.7%,72.7%,214368,672336,2361296
United Kingdom,2925000,0.7%,20.2%,79.2%,20475,590850,2316600
France,2856000,1.7%,19.5%,78.8%,48552,556920,2250528
Mexico,2463000,3.6%,31.9%,64.5%,88668,785697,1588635
Italy,2317000,2.1%,23.9%,73.9%,48657,553763,1712263
Turkey,2186000,6.8%,32.3%,60.7%,148648,706078,1326902
"Korea, South",2035000,2.2%,39.3%,58.3%,44770,799755,1186405
Spain,1778000,2.6%,23.2%,74.2%,46228,412496,1319276
Saudi Arabia,1775000,2.6%,44.2%,53.2%,46150,784550,944300
Canada,1774000,1.6%,28.2%,70.2%,28384,500268,1245348
Iran,1640000,9.6%,35.3%,55.0%,157440,578920,902000
Australia,1248000,3.6%,25.3%,71.2%,44928,315744,888576
Thailand,1236000,8.2%,36.2%,55.6%,101352,447432,687216
Egypt,1204000,11.7%,34.3%,54.0%,140868,412972,650160
Taiwan,1189000,1.8%,36.0%,62.1%,21402,428040,738369
Poland,1126000,2.4%,40.2%,57.4%,27024,452652,646324
Nigeria,1121000,21.1%,22.5%,56.4%,236531,252225,632244
Pakistan,1061000,24.4%,19.1%,56.5%,258884,202651,599465
Malaysia,933300,8.8%,37.6%,53.6%,82130,350921,500249
Netherlands,924400,1.6%,17.9%,70.2%,14790,165468,648929
Argentina,922100,10.8%,28.1%,61.1%,99587,259110,563403
Philippines,877200,9.6%,30.6%,59.8%,84211,268423,524566
South Africa,767200,2.8%,29.7%,67.5%,21482,227858,517860
Colombia,711600,7.2%,30.8%,62.1%,51235,219173,441904
United Arab Emirates,696000,0.9%,49.8%,49.2%,6264,346608,342432
Bangladesh,690300,14.2%,29.3%,56.5%,98023,202258,390020
Iraq,649300,3.3%,51.0%,45.8%,21427,331143,297379
Vietnam,648700,15.3%,33.3%,51.3%,99251,216017,332783
Algeria,630000,13.3%,39.3%,47.4%,83790,247590,298620
Belgium,529200,0.7%,22.1%,77.2%,3704,116953,408542
Singapore,528100,0.0%,24.8%,75.2%,0,130969,397131
Switzerland,523100,0.7%,25.6%,73.7%,3662,133914,385525
Sweden,518000,1.6%,33.0%,65.4%,8288,170940,338772
Romania,483400,4.2%,33.2%,62.6%,20303,160489,302608
Kazakhstan,478600,4.7%,34.1%,61.2%,22494,163203,292903
Hong Kong,455900,0.1%,7.6%,92.3%,456,34648,420796
Chile,452100,4.2%,32.8%,63.0%,18988,148289,284823
